Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
MOBERLY REGIONAL MEDICAL CENTER,260074,MO,READM-30-PN-HRRP,109,,14.7491,14.9799,15,07/01/2017,12/01/2019
MERCY HOSPITAL SOUTH,260077,MO,READM-30-AMI-HRRP,244,,14.4363,15.5246,31,07/01/2017,12/01/2019
MERCY HOSPITAL SOUTH,260077,MO,READM-30-CABG-HRRP,90,,12.7018,12.9586,11,07/01/2017,12/01/2019
MERCY HOSPITAL SOUTH,260077,MO,READM-30-COPD-HRRP,447,,21.4253,19.5491,104,07/01/2017,12/01/2019
MERCY HOSPITAL SOUTH,260077,MO,READM-30-HF-HRRP,1100,,19.9931,21.5590,215,07/01/2017,12/01/2019
MERCY HOSPITAL SOUTH,260077,MO,READM-30-HIP-KNEE-HRRP,486,,6.0809,4.2568,36,07/01/2017,12/01/2019
MERCY HOSPITAL SOUTH,260077,MO,READM-30-PN-HRRP,805,,20.4122,17.1686,177,07/01/2017,12/01/2019
OZARKS HEALTHCARE,260078,MO,READM-30-AMI-HRRP,116,,15.3530,14.5327,21,07/01/2017,12/01/2019
OZARKS HEALTHCARE,260078,MO,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
OZARKS HEALTHCARE,260078,MO,READM-30-COPD-HRRP,211,,18.2819,19.0473,35,07/01/2017,12/01/2019
OZARKS HEALTHCARE,260078,MO,READM-30-HF-HRRP,231,,21.7813,21.8849,50,07/01/2017,12/01/2019
OZARKS HEALTHCARE,260078,MO,READM-30-HIP-KNEE-HRRP,N/A,,4.2354,4.2309,Too Few to Report,07/01/2017,12/01/2019
OZARKS HEALTHCARE,260078,MO,READM-30-PN-HRRP,334,,15.3046,16.2308,47,07/01/2017,12/01/2019
SSM ST CLARE HEALTH CENTER,260081,MO,READM-30-AMI-HRRP,173,,15.5850,15.8410,26,07/01/2017,12/01/2019
SSM ST CLARE HEALTH CENTER,260081,MO,READM-30-CABG-HRRP,N/A,,13.2385,14.3078,Too Few to Report,07/01/2017,12/01/2019
SSM ST CLARE HEALTH CENTER,260081,MO,READM-30-COPD-HRRP,182,,20.3134,20.7600,35,07/01/2017,12/01/2019
SSM ST CLARE HEALTH CENTER,260081,MO,READM-30-HF-HRRP,468,,22.1780,22.4428,103,07/01/2017,12/01/2019
SSM ST CLARE HEALTH CENTER,260081,MO,READM-30-HIP-KNEE-HRRP,283,,5.4683,4.7566,18,07/01/2017,12/01/2019
SSM ST CLARE HEALTH CENTER,260081,MO,READM-30-PN-HRRP,334,,15.1214,16.8136,43,07/01/2017,12/01/2019
ST JOSEPH MEDICAL CENTER,260085,MO,READM-30-AMI-HRRP,124,,16.2504,16.2910,20,07/01/2017,12/01/2019
ST JOSEPH MEDICAL CENTER,260085,MO,READM-30-CABG-HRRP,N/A,,10.4745,12.0920,Too Few to Report,07/01/2017,12/01/2019
ST JOSEPH MEDICAL CENTER,260085,MO,READM-30-COPD-HRRP,89,,20.4642,19.8375,21,07/01/2017,12/01/2019
ST JOSEPH MEDICAL CENTER,260085,MO,READM-30-HF-HRRP,209,,20.4698,20.7169,42,07/01/2017,12/01/2019
ST JOSEPH MEDICAL CENTER,260085,MO,READM-30-HIP-KNEE-HRRP,N/A,,3.6345,3.6339,Too Few to Report,07/01/2017,12/01/2019
ST JOSEPH MEDICAL CENTER,260085,MO,READM-30-PN-HRRP,517,,17.5594,17.0298,93,07/01/2017,12/01/2019
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,READM-30-AMI-HRRP,98,,16.0849,17.1303,12,07/01/2017,12/01/2019
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,READM-30-COPD-HRRP,120,,21.8689,21.6891,27,07/01/2017,12/01/2019
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,READM-30-HF-HRRP,403,,19.4796,21.8517,71,07/01/2017,12/01/2019
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,READM-30-HIP-KNEE-HRRP,N/A,,3.8200,4.1115,Too Few to Report,07/01/2017,12/01/2019
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,READM-30-PN-HRRP,295,,16.5475,16.7361,48,07/01/2017,12/01/2019
COX MEDICAL CENTER BRANSON,260094,MO,READM-30-AMI-HRRP,184,,13.7063,14.4913,22,07/01/2017,12/01/2019
COX MEDICAL CENTER BRANSON,260094,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
COX MEDICAL CENTER BRANSON,260094,MO,READM-30-COPD-HRRP,183,,18.1916,19.5436,27,07/01/2017,12/01/2019
COX MEDICAL CENTER BRANSON,260094,MO,READM-30-HF-HRRP,346,,21.3935,21.4005,74,07/01/2017,12/01/2019
COX MEDICAL CENTER BRANSON,260094,MO,READM-30-HIP-KNEE-HRRP,N/A,,4.6208,4.9761,Too Few to Report,07/01/2017,12/01/2019
COX MEDICAL CENTER BRANSON,260094,MO,READM-30-PN-HRRP,388,,17.3748,17.4750,67,07/01/2017,12/01/2019
CENTERPOINT MEDICAL CENTER,260095,MO,READM-30-AMI-HRRP,112,,16.7186,15.5511,23,07/01/2017,12/01/2019
CENTERPOINT MEDICAL CENTER,260095,MO,READM-30-CABG-HRRP,N/A,,12.0052,11.6272,Too Few to Report,07/01/2017,12/01/2019
CENTERPOINT MEDICAL CENTER,260095,MO,READM-30-COPD-HRRP,248,,18.9867,20.1031,42,07/01/2017,12/01/2019
CENTERPOINT MEDICAL CENTER,260095,MO,READM-30-HF-HRRP,296,,21.5503,21.4814,64,07/01/2017,12/01/2019
CENTERPOINT MEDICAL CENTER,260095,MO,READM-30-HIP-KNEE-HRRP,298,,3.9648,3.9239,12,07/01/2017,12/01/2019
CENTERPOINT MEDICAL CENTER,260095,MO,READM-30-PN-HRRP,492,,18.8057,16.9716,100,07/01/2017,12/01/2019
NORTH KANSAS CITY HOSPITAL,260096,MO,READM-30-AMI-HRRP,239,,14.6780,14.6985,35,07/01/2017,12/01/2019
NORTH KANSAS CITY HOSPITAL,260096,MO,READM-30-CABG-HRRP,98,,11.8398,12.1806,11,07/01/2017,12/01/2019
NORTH KANSAS CITY HOSPITAL,260096,MO,READM-30-COPD-HRRP,388,,18.0186,18.6348,67,07/01/2017,12/01/2019
NORTH KANSAS CITY HOSPITAL,260096,MO,READM-30-HF-HRRP,856,,17.6429,20.9750,140,07/01/2017,12/01/2019
NORTH KANSAS CITY HOSPITAL,260096,MO,READM-30-HIP-KNEE-HRRP,809,,4.9812,4.2867,43,07/01/2017,12/01/2019
NORTH KANSAS CITY HOSPITAL,260096,MO,READM-30-PN-HRRP,1065,,16.2111,16.5910,171,07/01/2017,12/01/2019
WESTERN MISSOURI MEDICAL CENTER,260097,MO,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
WESTERN MISSOURI MEDICAL CENTER,260097,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
WESTERN MISSOURI MEDICAL CENTER,260097,MO,READM-30-COPD-HRRP,N/A,,16.4729,16.7759,Too Few to Report,07/01/2017,12/01/2019
WESTERN MISSOURI MEDICAL CENTER,260097,MO,READM-30-HF-HRRP,109,,20.9531,21.2225,22,07/01/2017,12/01/2019
WESTERN MISSOURI MEDICAL CENTER,260097,MO,READM-30-HIP-KNEE-HRRP,N/A,,4.1582,4.0417,Too Few to Report,07/01/2017,12/01/2019
WESTERN MISSOURI MEDICAL CENTER,260097,MO,READM-30-PN-HRRP,216,,14.5193,15.0194,29,07/01/2017,12/01/2019
UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,260102,MO,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,260102,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,260102,MO,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,260102,MO,READM-30-HF-HRRP,N/A,,21.7304,21.1008,Too Few to Report,07/01/2017,12/01/2019
UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,260102,MO,READM-30-HIP-KNEE-HRRP,N/A,,3.9268,3.4454,Too Few to Report,07/01/2017,12/01/2019
UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,260102,MO,READM-30-PN-HRRP,N/A,,18.4164,18.3023,Too Few to Report,07/01/2017,12/01/2019
SSM HEALTH DEPAUL HOSPITAL ST LOUIS,260104,MO,READM-30-AMI-HRRP,168,,18.5108,17.6491,34,07/01/2017,12/01/2019
SSM HEALTH DEPAUL HOSPITAL ST LOUIS,260104,MO,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SSM HEALTH DEPAUL HOSPITAL ST LOUIS,260104,MO,READM-30-COPD-HRRP,227,,22.4519,21.0179,57,07/01/2017,12/01/2019
SSM HEALTH DEPAUL HOSPITAL ST LOUIS,260104,MO,READM-30-HF-HRRP,564,,22.6314,22.5103,128,07/01/2017,12/01/2019
SSM HEALTH DEPAUL HOSPITAL ST LOUIS,260104,MO,READM-30-HIP-KNEE-HRRP,797,,4.0766,4.1898,32,07/01/2017,12/01/2019
SSM HEALTH DEPAUL HOSPITAL ST LOUIS,260104,MO,READM-30-PN-HRRP,386,,17.4335,16.5575,71,07/01/2017,12/01/2019
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,260105,MO,READM-30-AMI-HRRP,105,,18.8709,17.0332,26,07/01/2017,12/01/2019
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,260105,MO,READM-30-CABG-HRRP,N/A,,13.8822,12.9219,Too Few to Report,07/01/2017,12/01/2019
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,260105,MO,READM-30-COPD-HRRP,58,,22.8765,21.9739,17,07/01/2017,12/01/2019
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,260105,MO,READM-30-HF-HRRP,162,,23.8231,24.7388,36,07/01/2017,12/01/2019
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,260105,MO,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,260105,MO,READM-30-PN-HRRP,150,,20.7355,18.1601,41,07/01/2017,12/01/2019
MISSOURI BAPTIST MEDICAL CENTER,260108,MO,READM-30-AMI-HRRP,317,,15.3961,15.8738,47,07/01/2017,12/01/2019
MISSOURI BAPTIST MEDICAL CENTER,260108,MO,READM-30-CABG-HRRP,158,,11.1678,12.0708,16,07/01/2017,12/01/2019
MISSOURI BAPTIST MEDICAL CENTER,260108,MO,READM-30-COPD-HRRP,273,,17.9913,19.7180,41,07/01/2017,12/01/2019
MISSOURI BAPTIST MEDICAL CENTER,260108,MO,READM-30-HF-HRRP,1006,,22.7790,21.8269,232,07/01/2017,12/01/2019
MISSOURI BAPTIST MEDICAL CENTER,260108,MO,READM-30-HIP-KNEE-HRRP,413,,4.5811,4.3127,20,07/01/2017,12/01/2019
MISSOURI BAPTIST MEDICAL CENTER,260108,MO,READM-30-PN-HRRP,875,,16.2905,16.4151,142,07/01/2017,12/01/2019
SOUTHEASTHEALTH,260110,MO,READM-30-AMI-HRRP,162,,14.4188,14.0167,25,07/01/2017,12/01/2019
SOUTHEASTHEALTH,260110,MO,READM-30-CABG-HRRP,103,,12.5351,12.4836,13,07/01/2017,12/01/2019
SOUTHEASTHEALTH,260110,MO,READM-30-COPD-HRRP,183,,21.2067,20.4721,42,07/01/2017,12/01/2019
SOUTHEASTHEALTH,260110,MO,READM-30-HF-HRRP,224,,19.7364,21.7093,38,07/01/2017,12/01/2019
SOUTHEASTHEALTH,260110,MO,READM-30-HIP-KNEE-HRRP,N/A,,4.4162,4.2532,Too Few to Report,07/01/2017,12/01/2019
SOUTHEASTHEALTH,260110,MO,READM-30-PN-HRRP,555,,18.0000,16.5340,106,07/01/2017,12/01/2019
MISSOURI DELTA MEDICAL CENTER,260113,MO,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
MISSOURI DELTA MEDICAL CENTER,260113,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
MISSOURI DELTA MEDICAL CENTER,260113,MO,READM-30-COPD-HRRP,175,,20.2345,20.7864,33,07/01/2017,12/01/2019
MISSOURI DELTA MEDICAL CENTER,260113,MO,READM-30-HF-HRRP,272,,26.5406,24.7780,77,07/01/2017,12/01/2019
MISSOURI DELTA MEDICAL CENTER,260113,MO,READM-30-HIP-KNEE-HRRP,N/A,,3.8698,3.7724,Too Few to Report,07/01/2017,12/01/2019
MISSOURI DELTA MEDICAL CENTER,260113,MO,READM-30-PN-HRRP,192,,15.1369,16.7338,22,07/01/2017,12/01/2019
POPLAR BLUFF REGIONAL MEDICAL CENTER,260119,MO,READM-30-AMI-HRRP,183,,15.4808,15.5676,28,07/01/2017,12/01/2019
POPLAR BLUFF REGIONAL MEDICAL CENTER,260119,MO,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
POPLAR BLUFF REGIONAL MEDICAL CENTER,260119,MO,READM-30-COPD-HRRP,379,,21.4319,20.3324,86,07/01/2017,12/01/2019
POPLAR BLUFF REGIONAL MEDICAL CENTER,260119,MO,READM-30-HF-HRRP,378,,23.6023,22.3098,93,07/01/2017,12/01/2019
POPLAR BLUFF REGIONAL MEDICAL CENTER,260119,MO,READM-30-HIP-KNEE-HRRP,N/A,,5.3102,5.2150,Too Few to Report,07/01/2017,12/01/2019
POPLAR BLUFF REGIONAL MEDICAL CENTER,260119,MO,READM-30-PN-HRRP,635,,20.3357,17.2951,141,07/01/2017,12/01/2019
FREEMAN HEALTH SYSTEM - FREEMAN WEST,260137,MO,READM-30-AMI-HRRP,337,,16.0225,16.0214,54,07/01/2017,12/01/2019
FREEMAN HEALTH SYSTEM - FREEMAN WEST,260137,MO,READM-30-CABG-HRRP,N/A,,10.6393,11.3583,Too Few to Report,07/01/2017,12/01/2019
FREEMAN HEALTH SYSTEM - FREEMAN WEST,260137,MO,READM-30-COPD-HRRP,356,,19.5500,20.3528,66,07/01/2017,12/01/2019
FREEMAN HEALTH SYSTEM - FREEMAN WEST,260137,MO,READM-30-HF-HRRP,510,,20.7044,22.8755,99,07/01/2017,12/01/2019
FREEMAN HEALTH SYSTEM - FREEMAN WEST,260137,MO,READM-30-HIP-KNEE-HRRP,701,,4.0954,5.0258,25,07/01/2017,12/01/2019
FREEMAN HEALTH SYSTEM - FREEMAN WEST,260137,MO,READM-30-PN-HRRP,496,,15.7522,17.8804,69,07/01/2017,12/01/2019
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,READM-30-AMI-HRRP,292,,15.8092,15.5859,47,07/01/2017,12/01/2019
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,READM-30-CABG-HRRP,204,,12.4084,12.5920,25,07/01/2017,12/01/2019
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,READM-30-COPD-HRRP,190,,22.3268,20.7769,49,07/01/2017,12/01/2019
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,READM-30-HF-HRRP,667,,22.6246,22.9335,150,07/01/2017,12/01/2019
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,READM-30-HIP-KNEE-HRRP,N/A,,4.7544,5.3771,Too Few to Report,07/01/2017,12/01/2019
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,READM-30-PN-HRRP,393,,19.4684,17.8292,83,07/01/2017,12/01/2019
UNIVERSITY OF MISSOURI HEALTH CARE,260141,MO,READM-30-AMI-HRRP,204,,15.0897,15.0341,31,07/01/2017,12/01/2019
UNIVERSITY OF MISSOURI HEALTH CARE,260141,MO,READM-30-CABG-HRRP,N/A,,11.5356,12.0741,Too Few to Report,07/01/2017,12/01/2019
UNIVERSITY OF MISSOURI HEALTH CARE,260141,MO,READM-30-COPD-HRRP,221,,20.3419,21.4843,40,07/01/2017,12/01/2019
UNIVERSITY OF MISSOURI HEALTH CARE,260141,MO,READM-30-HF-HRRP,364,,26.1624,22.7140,105,07/01/2017,12/01/2019
UNIVERSITY OF MISSOURI HEALTH CARE,260141,MO,READM-30-HIP-KNEE-HRRP,406,,3.5965,3.7210,14,07/01/2017,12/01/2019
UNIVERSITY OF MISSOURI HEALTH CARE,260141,MO,READM-30-PN-HRRP,392,,17.9618,18.0636,70,07/01/2017,12/01/2019
FITZGIBBON HOSPITAL,260142,MO,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
FITZGIBBON HOSPITAL,260142,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
FITZGIBBON HOSPITAL,260142,MO,READM-30-COPD-HRRP,91,,17.4536,17.2269,17,07/01/2017,12/01/2019
FITZGIBBON HOSPITAL,260142,MO,READM-30-HF-HRRP,83,,20.6614,19.7704,20,07/01/2017,12/01/2019
FITZGIBBON HOSPITAL,260142,MO,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
FITZGIBBON HOSPITAL,260142,MO,READM-30-PN-HRRP,117,,14.0730,13.7607,18,07/01/2017,12/01/2019
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,260160,MO,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,260160,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,260160,MO,READM-30-COPD-HRRP,104,,19.2060,18.9842,21,07/01/2017,12/01/2019
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,260160,MO,READM-30-HF-HRRP,65,,21.4674,20.8054,16,07/01/2017,12/01/2019
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,260160,MO,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,260160,MO,READM-30-PN-HRRP,154,,16.1542,15.0077,30,07/01/2017,12/01/2019
BARNES-JEWISH WEST COUNTY HOSPITAL,260162,MO,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
BARNES-JEWISH WEST COUNTY HOSPITAL,260162,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
BARNES-JEWISH WEST COUNTY HOSPITAL,260162,MO,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
BARNES-JEWISH WEST COUNTY HOSPITAL,260162,MO,READM-30-HF-HRRP,N/A,,20.2951,19.3291,Too Few to Report,07/01/2017,12/01/2019
BARNES-JEWISH WEST COUNTY HOSPITAL,260162,MO,READM-30-HIP-KNEE-HRRP,N/A,,3.1433,3.6957,Too Few to Report,07/01/2017,12/01/2019
BARNES-JEWISH WEST COUNTY HOSPITAL,260162,MO,READM-30-PN-HRRP,N/A,,15.9237,15.3539,Too Few to Report,07/01/2017,12/01/2019
PARKLAND HEALTH CENTER,260163,MO,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
PARKLAND HEALTH CENTER,260163,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
PARKLAND HEALTH CENTER,260163,MO,READM-30-COPD-HRRP,167,,19.8416,19.4316,35,07/01/2017,12/01/2019
PARKLAND HEALTH CENTER,260163,MO,READM-30-HF-HRRP,232,,23.1200,21.9800,57,07/01/2017,12/01/2019
PARKLAND HEALTH CENTER,260163,MO,READM-30-HIP-KNEE-HRRP,N/A,,4.8258,4.9019,Too Few to Report,07/01/2017,12/01/2019
PARKLAND HEALTH CENTER,260163,MO,READM-30-PN-HRRP,318,,15.3494,16.2014,45,07/01/2017,12/01/2019
GOLDEN VALLEY MEMORIAL HOSPITAL,260175,MO,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
GOLDEN VALLEY MEMORIAL HOSPITAL,260175,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
GOLDEN VALLEY MEMORIAL HOSPITAL,260175,MO,READM-30-COPD-HRRP,98,,19.7050,19.3359,21,07/01/2017,12/01/2019
GOLDEN VALLEY MEMORIAL HOSPITAL,260175,MO,READM-30-HF-HRRP,121,,19.9621,20.9587,21,07/01/2017,12/01/2019
GOLDEN VALLEY MEMORIAL HOSPITAL,260175,MO,READM-30-HIP-KNEE-HRRP,112,,5.8268,4.5532,11,07/01/2017,12/01/2019
GOLDEN VALLEY MEMORIAL HOSPITAL,260175,MO,READM-30-PN-HRRP,186,,15.5277,15.0626,31,07/01/2017,12/01/2019
ST LUKE'S DES PERES HOSPITAL,260176,MO,READM-30-AMI-HRRP,64,,16.7562,16.4010,12,07/01/2017,12/01/2019
ST LUKE'S DES PERES HOSPITAL,260176,MO,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
ST LUKE'S DES PERES HOSPITAL,260176,MO,READM-30-COPD-HRRP,N/A,,18.9452,19.2699,Too Few to Report,07/01/2017,12/01/2019
ST LUKE'S DES PERES HOSPITAL,260176,MO,READM-30-HF-HRRP,84,,23.2406,21.0821,26,07/01/2017,12/01/2019
ST LUKE'S DES PERES HOSPITAL,260176,MO,READM-30-HIP-KNEE-HRRP,399,,4.5185,4.0476,20,07/01/2017,12/01/2019
ST LUKE'S DES PERES HOSPITAL,260176,MO,READM-30-PN-HRRP,N/A,,14.6011,14.5813,Too Few to Report,07/01/2017,12/01/2019
NEW LIBERTY HOSPITAL DISTRICT,260177,MO,READM-30-AMI-HRRP,137,,12.7781,13.3573,15,07/01/2017,12/01/2019
NEW LIBERTY HOSPITAL DISTRICT,260177,MO,READM-30-CABG-HRRP,117,,12.3591,11.4861,16,07/01/2017,12/01/2019
NEW LIBERTY HOSPITAL DISTRICT,260177,MO,READM-30-COPD-HRRP,329,,18.4483,18.3838,61,07/01/2017,12/01/2019
NEW LIBERTY HOSPITAL DISTRICT,260177,MO,READM-30-HF-HRRP,299,,20.1617,19.9390,61,07/01/2017,12/01/2019
NEW LIBERTY HOSPITAL DISTRICT,260177,MO,READM-30-HIP-KNEE-HRRP,N/A,,3.9933,3.9896,Too Few to Report,07/01/2017,12/01/2019
NEW LIBERTY HOSPITAL DISTRICT,260177,MO,READM-30-PN-HRRP,365,,15.2911,14.6059,59,07/01/2017,12/01/2019
ST LUKES HOSPITAL,260179,MO,READM-30-AMI-HRRP,311,,15.7959,15.8294,49,07/01/2017,12/01/2019
ST LUKES HOSPITAL,260179,MO,READM-30-CABG-HRRP,174,,10.2068,12.7723,13,07/01/2017,12/01/2019
ST LUKES HOSPITAL,260179,MO,READM-30-COPD-HRRP,318,,21.1308,20.0277,72,07/01/2017,12/01/2019
ST LUKES HOSPITAL,260179,MO,READM-30-HF-HRRP,811,,19.8726,21.5157,156,07/01/2017,12/01/2019
ST LUKES HOSPITAL,260179,MO,READM-30-HIP-KNEE-HRRP,973,,3.1708,3.9420,27,07/01/2017,12/01/2019
ST LUKES HOSPITAL,260179,MO,READM-30-PN-HRRP,950,,17.2600,16.3125,168,07/01/2017,12/01/2019
CHRISTIAN HOSPITAL NORTHEAST,260180,MO,READM-30-AMI-HRRP,164,,18.4988,18.9048,29,07/01/2017,12/01/2019
CHRISTIAN HOSPITAL NORTHEAST,260180,MO,READM-30-CABG-HRRP,N/A,,13.0744,13.0357,Too Few to Report,07/01/2017,12/01/2019
CHRISTIAN HOSPITAL NORTHEAST,260180,MO,READM-30-COPD-HRRP,287,,22.8853,22.3240,68,07/01/2017,12/01/2019
CHRISTIAN HOSPITAL NORTHEAST,260180,MO,READM-30-HF-HRRP,590,,23.7125,23.6791,140,07/01/2017,12/01/2019
CHRISTIAN HOSPITAL NORTHEAST,260180,MO,READM-30-HIP-KNEE-HRRP,N/A,,5.1836,4.3137,Too Few to Report,07/01/2017,12/01/2019
CHRISTIAN HOSPITAL NORTHEAST,260180,MO,READM-30-PN-HRRP,307,,19.8446,19.3031,63,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,260183,MO,READM-30-AMI-HRRP,149,,13.6580,13.5035,21,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,260183,MO,READM-30-CABG-HRRP,N/A,,10.5137,12.1906,Too Few to Report,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,260183,MO,READM-30-COPD-HRRP,342,,19.5816,20.9315,61,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,260183,MO,READM-30-HF-HRRP,533,,19.8590,22.0595,99,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,260183,MO,READM-30-HIP-KNEE-HRRP,359,,4.7046,4.4223,18,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,260183,MO,READM-30-PN-HRRP,430,,15.4029,17.0646,59,07/01/2017,12/01/2019
LAKE REGIONAL HEALTH SYSTEM,260186,MO,READM-30-AMI-HRRP,194,,14.9415,14.4321,31,07/01/2017,12/01/2019
LAKE REGIONAL HEALTH SYSTEM,260186,MO,READM-30-CABG-HRRP,N/A,,14.6969,14.1543,Too Few to Report,07/01/2017,12/01/2019
LAKE REGIONAL HEALTH SYSTEM,260186,MO,READM-30-COPD-HRRP,176,,17.8342,18.3278,29,07/01/2017,12/01/2019
LAKE REGIONAL HEALTH SYSTEM,260186,MO,READM-30-HF-HRRP,245,,22.2098,22.0144,55,07/01/2017,12/01/2019
LAKE REGIONAL HEALTH SYSTEM,260186,MO,READM-30-HIP-KNEE-HRRP,N/A,,4.4264,4.2054,Too Few to Report,07/01/2017,12/01/2019
LAKE REGIONAL HEALTH SYSTEM,260186,MO,READM-30-PN-HRRP,350,,16.0064,16.4703,54,07/01/2017,12/01/2019
LEE'S SUMMIT MEDICAL CENTER,260190,MO,READM-30-AMI-HRRP,N/A,,14.3164,14.1074,Too Few to Report,07/01/2017,12/01/2019
LEE'S SUMMIT MEDICAL CENTER,260190,MO,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LEE'S SUMMIT MEDICAL CENTER,260190,MO,READM-30-COPD-HRRP,78,,18.6824,19.0185,13,07/01/2017,12/01/2019
LEE'S SUMMIT MEDICAL CENTER,260190,MO,READM-30-HF-HRRP,122,,22.4104,22.1904,28,07/01/2017,12/01/2019
LEE'S SUMMIT MEDICAL CENTER,260190,MO,READM-30-HIP-KNEE-HRRP,262,,3.9930,3.4584,13,07/01/2017,12/01/2019
LEE'S SUMMIT MEDICAL CENTER,260190,MO,READM-30-PN-HRRP,134,,16.5447,15.6818,26,07/01/2017,12/01/2019
BARNES-JEWISH ST PETERS HOSPITAL,260191,MO,READM-30-AMI-HRRP,59,,16.7747,15.9233,13,07/01/2017,12/01/2019
